NODES: 72
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
--------------------------------------------------------------------------------------------------------------------------------------------------------------

NODE 		 TYPE 		 VOL   		  TIME WINDOW  				  OFFLINE		09 2 [09:00-10:59]  11 2 [11:00-12:59]  13 2 [13:00-14:59]  15 2 [15:00-16:59]
01098 		 CST 		 011		  09 8 [09:00-16:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02027 		 CST 		 001		  09 8 [09:00-16:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02032 		 CST 		 004		  09 8 [09:00-16:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02035 		 CST 		 003		  09 8 [09:00-16:59]		  0  			0.0309  			0.0000  			0.0000  			0.0000  			
02040 		 CST 		 003		  09 8 [09:00-16:59]		  1  			0.0000  			0.9574  			0.0000  			0.0000  			
02083 		 CST 		 002		  09 4 [09:00-12:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02087 		 CST 		 023		  09 8 [09:00-16:59]		  1  			0.5327  			0.0000  			0.0000  			0.0000  			
02094 		 CST 		 014		  09 8 [09:00-16:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02098 		 CST 		 003		  09 8 [09:00-16:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02104 		 CST 		 003		  09 8 [09:00-16:59]		  1  			0.5249  			0.7663  			0.0000  			0.0000  			
02114 		 CST 		 002		  09 8 [09:00-16:59]		  1  			0.6907  			0.0000  			0.0000  			0.0000  			
02117 		 CST 		 009		  09 4 [09:00-12:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02127 		 CST 		 001		  09 8 [09:00-16:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02135 		 CST 		 003		  09 4 [09:00-12:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02137 		 CST 		 006		  09 8 [09:00-16:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02143 		 CST 		 003		  09 4 [09:00-12:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
02152 		 CST 		 006		  09 8 [09:00-16:59]		  1  			0.0000  			0.0000  			0.0000  			0.0000  			
