ONLINE REQUESTS:           23
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02551 		  038		  09 7 [09:00-16:59]		  09:03  		 1
02348 		  001		  09 7 [09:00-16:59]		  09:24  		 1
02258 		  001		  09 7 [09:00-16:59]		  09:33  		 1
02027 		  001		  09 7 [09:00-16:59]		  09:52  		 1
02566 		  020		  09 7 [09:00-16:59]		  10:06  		 1
02098 		  003		  09 7 [09:00-16:59]		  10:16  		 1
02383 		  002		  09 7 [09:00-16:59]		  10:20  		 1
02563 		  033		  09 7 [09:00-16:59]		  10:26  		 1
02243 		  003		  09 7 [09:00-16:59]		  10:56  		 1
05108 		  045		  09 7 [09:00-16:59]		  11:34  		 2
02160 		  002		  09 7 [09:00-16:59]		  11:41  		 2
02282 		  001		  09 7 [09:00-16:59]		  12:00  		 2
02094 		  014		  09 7 [09:00-16:59]		  12:03  		 2
02563 		  033		  09 7 [09:00-16:59]		  12:04  		 2
02040 		  003		  09 7 [09:00-16:59]		  12:04  		 2
02137 		  006		  09 7 [09:00-16:59]		  12:07  		 2
05296 		  020		  09 7 [09:00-16:59]		  12:14  		 2
02383 		  002		  09 7 [09:00-16:59]		  12:19  		 2
02597 		  004		  09 7 [09:00-16:59]		  12:21  		 2
02223 		  002		  09 7 [09:00-16:59]		  12:25  		 2
02258 		  001		  09 7 [09:00-16:59]		  12:46  		 2
02098 		  003		  09 7 [09:00-16:59]		  12:47  		 2
02294 		  002		  09 7 [09:00-16:59]		  12:52  		 2
