ONLINE REQUESTS:           32
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02258 		  001		  09 7 [09:00-16:59]		  09:14  		 1
02593 		  005		  09 7 [09:00-16:59]		  09:17  		 1
02373 		  003		  09 7 [09:00-16:59]		  09:25  		 1
02563 		  033		  09 7 [09:00-16:59]		  09:25  		 1
02098 		  003		  09 7 [09:00-16:59]		  09:36  		 1
02466 		  027		  09 7 [09:00-16:59]		  09:44  		 1
02566 		  020		  09 7 [09:00-16:59]		  10:09  		 1
02530 		  034		  09 7 [09:00-16:59]		  10:12  		 1
02348 		  001		  09 7 [09:00-16:59]		  10:25  		 1
02040 		  003		  09 7 [09:00-16:59]		  10:34  		 1
02127 		  001		  09 7 [09:00-16:59]		  10:48  		 1
02243 		  003		  09 7 [09:00-16:59]		  10:52  		 1
02383 		  002		  09 7 [09:00-16:59]		  10:55  		 1
50548 		  018		  09 7 [09:00-16:59]		  11:00  		 2
02597 		  004		  09 7 [09:00-16:59]		  11:03  		 2
02563 		  033		  09 7 [09:00-16:59]		  11:05  		 2
05296 		  020		  09 7 [09:00-16:59]		  11:09  		 2
02234 		  001		  09 7 [09:00-16:59]		  11:10  		 2
02223 		  002		  09 7 [09:00-16:59]		  11:18  		 2
02160 		  002		  09 7 [09:00-16:59]		  11:34  		 2
50541 		  020		  09 7 [09:00-16:59]		  11:41  		 2
02258 		  001		  09 7 [09:00-16:59]		  11:44  		 2
50583 		  049		  09 7 [09:00-16:59]		  11:54  		 2
02098 		  003		  09 7 [09:00-16:59]		  12:01  		 2
02383 		  002		  09 7 [09:00-16:59]		  12:03  		 2
05108 		  045		  09 7 [09:00-16:59]		  12:07  		 2
02137 		  006		  09 7 [09:00-16:59]		  12:14  		 2
02466 		  027		  09 7 [09:00-16:59]		  12:23  		 2
02294 		  002		  09 7 [09:00-16:59]		  12:36  		 2
02040 		  003		  09 7 [09:00-16:59]		  12:38  		 2
02263 		  001		  09 7 [09:00-16:59]		  12:45  		 2
02560 		  002		  09 7 [09:00-16:59]		  12:57  		 2
