ONLINE REQUESTS:           37
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02530 		  034		  09 7 [09:00-16:59]		  09:00  		 1
02348 		  001		  09 7 [09:00-16:59]		  09:25  		 1
02258 		  001		  09 7 [09:00-16:59]		  09:27  		 1
02466 		  027		  09 7 [09:00-16:59]		  09:29  		 1
02383 		  002		  09 7 [09:00-16:59]		  09:31  		 1
02027 		  001		  09 7 [09:00-16:59]		  09:37  		 1
02127 		  001		  09 7 [09:00-16:59]		  09:39  		 1
02243 		  003		  09 7 [09:00-16:59]		  09:44  		 1
02593 		  005		  09 7 [09:00-16:59]		  09:47  		 1
02373 		  003		  09 7 [09:00-16:59]		  09:55  		 1
02098 		  003		  09 7 [09:00-16:59]		  10:00  		 1
02563 		  033		  09 7 [09:00-16:59]		  10:05  		 1
02566 		  020		  09 7 [09:00-16:59]		  10:13  		 1
02551 		  038		  09 7 [09:00-16:59]		  10:25  		 1
02223 		  002		  09 7 [09:00-16:59]		  10:42  		 1
50583 		  049		  09 7 [09:00-16:59]		  11:05  		 2
02258 		  001		  09 7 [09:00-16:59]		  11:08  		 2
50541 		  020		  09 7 [09:00-16:59]		  11:12  		 2
02160 		  002		  09 7 [09:00-16:59]		  11:12  		 2
02094 		  014		  09 7 [09:00-16:59]		  11:15  		 2
50548 		  018		  09 7 [09:00-16:59]		  11:15  		 2
02223 		  002		  09 7 [09:00-16:59]		  11:18  		 2
02383 		  002		  09 7 [09:00-16:59]		  11:27  		 2
02282 		  001		  09 7 [09:00-16:59]		  11:31  		 2
05296 		  020		  09 7 [09:00-16:59]		  11:39  		 2
02466 		  027		  09 7 [09:00-16:59]		  11:41  		 2
02560 		  002		  09 7 [09:00-16:59]		  11:44  		 2
02098 		  003		  09 7 [09:00-16:59]		  12:04  		 2
02040 		  003		  09 7 [09:00-16:59]		  12:06  		 2
02294 		  002		  09 7 [09:00-16:59]		  12:07  		 2
02263 		  001		  09 7 [09:00-16:59]		  12:08  		 2
05108 		  045		  09 7 [09:00-16:59]		  12:17  		 2
02563 		  033		  09 7 [09:00-16:59]		  12:20  		 2
02137 		  006		  09 7 [09:00-16:59]		  12:29  		 2
02234 		  001		  09 7 [09:00-16:59]		  12:32  		 2
02262 		  002		  09 7 [09:00-16:59]		  12:34  		 2
01098 		  011		  09 7 [09:00-16:59]		  12:42  		 2
