ONLINE REQUESTS:           35
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02466 		  027		  09 7 [09:00-16:59]		  09:08  		 1
02243 		  003		  09 7 [09:00-16:59]		  09:30  		 1
02127 		  001		  09 7 [09:00-16:59]		  09:46  		 1
02530 		  034		  09 7 [09:00-16:59]		  09:50  		 1
02490 		  035		  09 7 [09:00-16:59]		  10:00  		 1
02040 		  003		  09 7 [09:00-16:59]		  10:06  		 1
02563 		  033		  09 7 [09:00-16:59]		  10:08  		 1
02383 		  002		  09 7 [09:00-16:59]		  10:14  		 1
02593 		  005		  09 7 [09:00-16:59]		  10:18  		 1
02566 		  020		  09 7 [09:00-16:59]		  10:30  		 1
02373 		  003		  09 7 [09:00-16:59]		  10:44  		 1
02258 		  001		  09 7 [09:00-16:59]		  10:49  		 1
02027 		  001		  09 7 [09:00-16:59]		  10:54  		 1
02348 		  001		  09 7 [09:00-16:59]		  10:58  		 1
02098 		  003		  09 7 [09:00-16:59]		  11:01  		 2
02466 		  027		  09 7 [09:00-16:59]		  11:07  		 2
02137 		  006		  09 7 [09:00-16:59]		  11:21  		 2
02383 		  002		  09 7 [09:00-16:59]		  11:22  		 2
02294 		  002		  09 7 [09:00-16:59]		  11:30  		 2
02597 		  004		  09 7 [09:00-16:59]		  11:36  		 2
02615 		  003		  09 7 [09:00-16:59]		  11:38  		 2
02263 		  001		  09 7 [09:00-16:59]		  11:42  		 2
02563 		  033		  09 7 [09:00-16:59]		  11:45  		 2
50541 		  020		  09 7 [09:00-16:59]		  11:59  		 2
02282 		  001		  09 7 [09:00-16:59]		  11:59  		 2
02560 		  002		  09 7 [09:00-16:59]		  12:12  		 2
01098 		  011		  09 7 [09:00-16:59]		  12:13  		 2
02040 		  003		  09 7 [09:00-16:59]		  12:25  		 2
02262 		  002		  09 7 [09:00-16:59]		  12:25  		 2
02094 		  014		  09 7 [09:00-16:59]		  12:28  		 2
05296 		  020		  09 7 [09:00-16:59]		  12:33  		 2
02234 		  001		  09 7 [09:00-16:59]		  12:48  		 2
50548 		  018		  09 7 [09:00-16:59]		  12:49  		 2
05108 		  045		  09 7 [09:00-16:59]		  12:53  		 2
02062 		  001		  09 7 [09:00-16:59]		  12:56  		 2
