ONLINE REQUESTS:           29
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02027 		  001		  09 7 [09:00-16:59]		  09:16  		 1
02040 		  003		  09 7 [09:00-16:59]		  09:38  		 1
02373 		  003		  09 7 [09:00-16:59]		  09:43  		 1
02243 		  003		  09 7 [09:00-16:59]		  09:45  		 1
02551 		  038		  09 7 [09:00-16:59]		  10:05  		 1
02348 		  001		  09 7 [09:00-16:59]		  10:07  		 1
02127 		  001		  09 7 [09:00-16:59]		  10:09  		 1
02466 		  027		  09 7 [09:00-16:59]		  10:10  		 1
02383 		  002		  09 7 [09:00-16:59]		  10:27  		 1
02566 		  020		  09 7 [09:00-16:59]		  10:30  		 1
02258 		  001		  09 7 [09:00-16:59]		  10:32  		 1
02098 		  003		  09 7 [09:00-16:59]		  10:56  		 1
02263 		  001		  09 7 [09:00-16:59]		  11:08  		 2
02098 		  003		  09 7 [09:00-16:59]		  11:12  		 2
02234 		  001		  09 7 [09:00-16:59]		  11:19  		 2
50583 		  049		  09 7 [09:00-16:59]		  11:27  		 2
02223 		  002		  09 7 [09:00-16:59]		  11:35  		 2
02466 		  027		  09 7 [09:00-16:59]		  11:42  		 2
05108 		  045		  09 7 [09:00-16:59]		  11:42  		 2
02094 		  014		  09 7 [09:00-16:59]		  11:42  		 2
02062 		  001		  09 7 [09:00-16:59]		  11:48  		 2
50548 		  018		  09 7 [09:00-16:59]		  11:49  		 2
02563 		  033		  09 7 [09:00-16:59]		  12:05  		 2
02040 		  003		  09 7 [09:00-16:59]		  12:14  		 2
02383 		  002		  09 7 [09:00-16:59]		  12:15  		 2
02615 		  003		  09 7 [09:00-16:59]		  12:27  		 2
50541 		  020		  09 7 [09:00-16:59]		  12:29  		 2
02262 		  002		  09 7 [09:00-16:59]		  12:39  		 2
02137 		  006		  09 7 [09:00-16:59]		  12:48  		 2
