ONLINE REQUESTS:           48
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02087 		  023		  09 7 [09:00-16:59]		  09:04  		 1
02040 		  003		  09 7 [09:00-16:59]		  09:06  		 1
02016 		  032		  09 7 [09:00-16:59]		  09:08  		 1
01098 		  011		  09 7 [09:00-16:59]		  09:15  		 1
02540 		  006		  09 7 [09:00-16:59]		  09:27  		 1
02394 		  004		  09 7 [09:00-16:59]		  09:28  		 1
02035 		  003		  09 7 [09:00-16:59]		  09:31  		 1
02137 		  006		  09 7 [09:00-16:59]		  09:56  		 1
02593 		  005		  09 7 [09:00-16:59]		  09:58  		 1
02182 		  020		  09 7 [09:00-16:59]		  09:59  		 1
02258 		  001		  09 7 [09:00-16:59]		  10:16  		 1
02466 		  027		  09 7 [09:00-16:59]		  10:17  		 1
00770 		  001		  09 7 [09:00-16:59]		  10:18  		 1
02234 		  001		  09 7 [09:00-16:59]		  10:23  		 1
02094 		  014		  09 7 [09:00-16:59]		  10:25  		 1
02347 		  044		  09 7 [09:00-16:59]		  10:33  		 1
02127 		  001		  09 7 [09:00-16:59]		  10:35  		 1
02472 		  003		  09 7 [09:00-16:59]		  10:37  		 1
50548 		  018		  09 7 [09:00-16:59]		  10:57  		 1
02375 		  006		  09 7 [09:00-16:59]		  11:08  		 2
02294 		  002		  09 7 [09:00-16:59]		  11:10  		 2
02258 		  001		  09 7 [09:00-16:59]		  11:11  		 2
02114 		  002		  09 7 [09:00-16:59]		  11:11  		 2
02178 		  004		  09 7 [09:00-16:59]		  11:15  		 2
02212 		  005		  09 7 [09:00-16:59]		  11:15  		 2
05295 		  003		  09 7 [09:00-16:59]		  11:15  		 2
02262 		  002		  09 7 [09:00-16:59]		  11:20  		 2
50541 		  020		  09 7 [09:00-16:59]		  11:23  		 2
02087 		  023		  09 7 [09:00-16:59]		  11:24  		 2
02296 		  003		  09 7 [09:00-16:59]		  11:45  		 2
02380 		  002		  09 7 [09:00-16:59]		  11:49  		 2
02062 		  001		  09 7 [09:00-16:59]		  12:00  		 2
02234 		  001		  09 7 [09:00-16:59]		  12:01  		 2
02566 		  020		  09 7 [09:00-16:59]		  12:02  		 2
02597 		  004		  09 7 [09:00-16:59]		  12:03  		 2
02279 		  040		  09 7 [09:00-16:59]		  12:11  		 2
02098 		  003		  09 7 [09:00-16:59]		  12:15  		 2
02032 		  004		  09 7 [09:00-16:59]		  12:16  		 2
00770 		  001		  09 7 [09:00-16:59]		  12:20  		 2
02251 		  006		  09 7 [09:00-16:59]		  12:26  		 2
02348 		  001		  09 7 [09:00-16:59]		  12:28  		 2
02223 		  002		  09 7 [09:00-16:59]		  12:29  		 2
02513 		  002		  09 7 [09:00-16:59]		  12:34  		 2
02590 		  002		  09 7 [09:00-16:59]		  12:38  		 2
50583 		  049		  09 7 [09:00-16:59]		  12:43  		 2
02137 		  006		  09 7 [09:00-16:59]		  12:45  		 2
02347 		  044		  09 7 [09:00-16:59]		  12:53  		 2
02282 		  001		  09 7 [09:00-16:59]		  12:54  		 2
