ONLINE REQUESTS:           62
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02373 		  003		  09 7 [09:00-16:59]		  09:02  		 1
02137 		  006		  09 7 [09:00-16:59]		  09:05  		 1
02394 		  004		  09 7 [09:00-16:59]		  09:23  		 1
05108 		  045		  09 7 [09:00-16:59]		  09:24  		 1
00770 		  001		  09 7 [09:00-16:59]		  09:26  		 1
02016 		  032		  09 7 [09:00-16:59]		  09:29  		 1
02563 		  033		  09 7 [09:00-16:59]		  09:37  		 1
02152 		  006		  09 7 [09:00-16:59]		  09:39  		 1
02597 		  004		  09 7 [09:00-16:59]		  09:40  		 1
02540 		  006		  09 7 [09:00-16:59]		  09:45  		 1
02530 		  034		  09 7 [09:00-16:59]		  09:47  		 1
02246 		  002		  09 7 [09:00-16:59]		  09:55  		 1
02040 		  003		  09 7 [09:00-16:59]		  10:11  		 1
02062 		  001		  09 7 [09:00-16:59]		  10:14  		 1
01098 		  011		  09 7 [09:00-16:59]		  10:22  		 1
02035 		  003		  09 7 [09:00-16:59]		  10:22  		 1
02234 		  001		  09 7 [09:00-16:59]		  10:22  		 1
02472 		  003		  09 7 [09:00-16:59]		  10:23  		 1
02212 		  005		  09 7 [09:00-16:59]		  10:26  		 1
02258 		  001		  09 7 [09:00-16:59]		  10:27  		 1
50548 		  018		  09 7 [09:00-16:59]		  10:30  		 1
02347 		  044		  09 7 [09:00-16:59]		  10:38  		 1
02593 		  005		  09 7 [09:00-16:59]		  10:39  		 1
50541 		  020		  09 7 [09:00-16:59]		  10:44  		 1
02303 		  001		  09 7 [09:00-16:59]		  10:48  		 1
02262 		  002		  09 7 [09:00-16:59]		  11:04  		 2
02182 		  020		  09 7 [09:00-16:59]		  11:07  		 2
02530 		  034		  09 7 [09:00-16:59]		  11:08  		 2
02040 		  003		  09 7 [09:00-16:59]		  11:11  		 2
02178 		  004		  09 7 [09:00-16:59]		  11:11  		 2
50583 		  049		  09 7 [09:00-16:59]		  11:15  		 2
02251 		  006		  09 7 [09:00-16:59]		  11:17  		 2
02394 		  004		  09 7 [09:00-16:59]		  11:23  		 2
02590 		  002		  09 7 [09:00-16:59]		  11:23  		 2
02035 		  003		  09 7 [09:00-16:59]		  11:26  		 2
02160 		  002		  09 7 [09:00-16:59]		  11:26  		 2
02348 		  001		  09 7 [09:00-16:59]		  11:29  		 2
02294 		  002		  09 7 [09:00-16:59]		  11:35  		 2
02375 		  006		  09 7 [09:00-16:59]		  11:40  		 2
50548 		  018		  09 7 [09:00-16:59]		  11:45  		 2
02325 		  003		  09 7 [09:00-16:59]		  11:46  		 2
02610 		  004		  09 7 [09:00-16:59]		  11:56  		 2
02282 		  001		  09 7 [09:00-16:59]		  11:58  		 2
02223 		  002		  09 7 [09:00-16:59]		  11:59  		 2
02258 		  001		  09 7 [09:00-16:59]		  12:00  		 2
02087 		  023		  09 7 [09:00-16:59]		  12:01  		 2
02597 		  004		  09 7 [09:00-16:59]		  12:03  		 2
01098 		  011		  09 7 [09:00-16:59]		  12:08  		 2
02098 		  003		  09 7 [09:00-16:59]		  12:10  		 2
02324 		  016		  09 7 [09:00-16:59]		  12:13  		 2
02380 		  002		  09 7 [09:00-16:59]		  12:16  		 2
02513 		  002		  09 7 [09:00-16:59]		  12:18  		 2
02032 		  004		  09 7 [09:00-16:59]		  12:26  		 2
02193 		  001		  09 7 [09:00-16:59]		  12:29  		 2
02563 		  033		  09 7 [09:00-16:59]		  12:30  		 2
02212 		  005		  09 7 [09:00-16:59]		  12:31  		 2
02296 		  003		  09 7 [09:00-16:59]		  12:33  		 2
50541 		  020		  09 7 [09:00-16:59]		  12:36  		 2
02234 		  001		  09 7 [09:00-16:59]		  12:36  		 2
02453 		  002		  09 7 [09:00-16:59]		  12:39  		 2
02127 		  001		  09 7 [09:00-16:59]		  12:48  		 2
02347 		  044		  09 7 [09:00-16:59]		  12:59  		 2
