ONLINE REQUESTS:           58
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02182 		  020		  09 7 [09:00-16:59]		  09:03  		 1
02035 		  003		  09 7 [09:00-16:59]		  09:03  		 1
02212 		  005		  09 7 [09:00-16:59]		  09:09  		 1
02137 		  006		  09 7 [09:00-16:59]		  09:13  		 1
02597 		  004		  09 7 [09:00-16:59]		  09:17  		 1
02373 		  003		  09 7 [09:00-16:59]		  09:32  		 1
02540 		  006		  09 7 [09:00-16:59]		  09:44  		 1
02305 		  003		  09 7 [09:00-16:59]		  09:53  		 1
02347 		  044		  09 7 [09:00-16:59]		  09:53  		 1
02466 		  027		  09 7 [09:00-16:59]		  09:54  		 1
02394 		  004		  09 7 [09:00-16:59]		  09:56  		 1
05108 		  045		  09 7 [09:00-16:59]		  09:57  		 1
02094 		  014		  09 7 [09:00-16:59]		  09:58  		 1
02062 		  001		  09 7 [09:00-16:59]		  10:21  		 1
02258 		  001		  09 7 [09:00-16:59]		  10:23  		 1
02246 		  002		  09 7 [09:00-16:59]		  10:25  		 1
02234 		  001		  09 7 [09:00-16:59]		  10:27  		 1
02016 		  032		  09 7 [09:00-16:59]		  10:28  		 1
50548 		  018		  09 7 [09:00-16:59]		  10:35  		 1
50541 		  020		  09 7 [09:00-16:59]		  10:37  		 1
02563 		  033		  09 7 [09:00-16:59]		  10:43  		 1
02530 		  034		  09 7 [09:00-16:59]		  10:55  		 1
02317 		  003		  09 7 [09:00-16:59]		  10:55  		 1
02234 		  001		  09 7 [09:00-16:59]		  11:00  		 2
02348 		  001		  09 7 [09:00-16:59]		  11:01  		 2
02127 		  001		  09 7 [09:00-16:59]		  11:03  		 2
02212 		  005		  09 7 [09:00-16:59]		  11:04  		 2
02551 		  038		  09 7 [09:00-16:59]		  11:05  		 2
02035 		  003		  09 7 [09:00-16:59]		  11:13  		 2
50541 		  020		  09 7 [09:00-16:59]		  11:13  		 2
02062 		  001		  09 7 [09:00-16:59]		  11:14  		 2
02453 		  002		  09 7 [09:00-16:59]		  11:20  		 2
02258 		  001		  09 7 [09:00-16:59]		  11:22  		 2
02040 		  003		  09 7 [09:00-16:59]		  11:23  		 2
02530 		  034		  09 7 [09:00-16:59]		  11:26  		 2
02597 		  004		  09 7 [09:00-16:59]		  11:31  		 2
50583 		  049		  09 7 [09:00-16:59]		  11:31  		 2
02262 		  002		  09 7 [09:00-16:59]		  11:36  		 2
02032 		  004		  09 7 [09:00-16:59]		  11:41  		 2
02104 		  003		  09 7 [09:00-16:59]		  11:46  		 2
01098 		  011		  09 7 [09:00-16:59]		  11:52  		 2
02087 		  023		  09 7 [09:00-16:59]		  11:53  		 2
02325 		  003		  09 7 [09:00-16:59]		  11:57  		 2
02182 		  020		  09 7 [09:00-16:59]		  12:00  		 2
02098 		  003		  09 7 [09:00-16:59]		  12:02  		 2
02223 		  002		  09 7 [09:00-16:59]		  12:02  		 2
00770 		  001		  09 7 [09:00-16:59]		  12:06  		 2
02563 		  033		  09 7 [09:00-16:59]		  12:26  		 2
02375 		  006		  09 7 [09:00-16:59]		  12:29  		 2
02251 		  006		  09 7 [09:00-16:59]		  12:30  		 2
02380 		  002		  09 7 [09:00-16:59]		  12:31  		 2
02114 		  002		  09 7 [09:00-16:59]		  12:32  		 2
02279 		  040		  09 7 [09:00-16:59]		  12:36  		 2
50548 		  018		  09 7 [09:00-16:59]		  12:38  		 2
02610 		  004		  09 7 [09:00-16:59]		  12:40  		 2
02513 		  002		  09 7 [09:00-16:59]		  12:47  		 2
02160 		  002		  09 7 [09:00-16:59]		  12:49  		 2
02178 		  004		  09 7 [09:00-16:59]		  12:56  		 2
