ONLINE REQUESTS:           14
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02114 		  002		  09 7 [09:00-16:59]		  09:30  		 1
02347 		  044		  09 7 [09:00-16:59]		  09:42  		 1
02193 		  001		  09 7 [09:00-16:59]		  09:44  		 1
02104 		  003		  09 7 [09:00-16:59]		  09:51  		 1
02279 		  040		  09 7 [09:00-16:59]		  10:33  		 1
02087 		  023		  09 7 [09:00-16:59]		  10:45  		 1
02597 		  004		  09 7 [09:00-16:59]		  11:06  		 2
02325 		  003		  09 7 [09:00-16:59]		  11:10  		 2
02320 		  003		  09 7 [09:00-16:59]		  11:13  		 2
02324 		  016		  09 7 [09:00-16:59]		  11:25  		 2
02040 		  003		  09 7 [09:00-16:59]		  11:39  		 2
02394 		  004		  09 7 [09:00-16:59]		  11:41  		 2
02380 		  002		  09 7 [09:00-16:59]		  12:31  		 2
02243 		  003		  09 7 [09:00-16:59]		  12:41  		 2
