ONLINE REQUESTS:           14
TIME HORIZON:                  09 8 [09:00-16:59]
TIME BUCKETS IN HORIZON:   4   09 2 [09:00-10:59]     11 2 [11:00-12:59]     13 2 [13:00-14:59]     15 2 [15:00-16:59]
TIME BUCKETS FOR REQUESTS: 2   09 2 [09:00-10:59]     11 2 [11:00-12:59]
----------------------------------------------------------------------------------------------------------------------

NODE 		  VOL 		  TIME WINDOW 				  TIME REQUEST   TIME BUCKET
02087 		  023		  09 7 [09:00-16:59]		  09:08  		 1
02104 		  003		  09 7 [09:00-16:59]		  10:03  		 1
02193 		  001		  09 7 [09:00-16:59]		  10:25  		 1
02279 		  040		  09 7 [09:00-16:59]		  10:31  		 1
02347 		  044		  09 7 [09:00-16:59]		  10:37  		 1
02114 		  002		  09 7 [09:00-16:59]		  10:59  		 1
02324 		  016		  09 7 [09:00-16:59]		  11:03  		 2
02320 		  003		  09 7 [09:00-16:59]		  11:21  		 2
02394 		  004		  09 7 [09:00-16:59]		  11:28  		 2
02104 		  003		  09 7 [09:00-16:59]		  11:39  		 2
02380 		  002		  09 7 [09:00-16:59]		  12:09  		 2
02597 		  004		  09 7 [09:00-16:59]		  12:21  		 2
02040 		  003		  09 7 [09:00-16:59]		  12:21  		 2
02178 		  004		  09 7 [09:00-16:59]		  12:42  		 2
